Phenotype	PheCode	Asian (all)	Black (all)	Chinese (all)	Mixed (all)	White (all)	Other
Urethral discharge	599.7	0.02	0.04	0.0	0.0	0.01	0.02
Other abnormality of urination	599.9	0.58	0.34	0.2	0.33	0.52	0.46
Abnormal findings on examination of urine	598.0	1.47	1.2	0.96	0.83	0.89	1.0
Neurological disorders	292.0	0.19	0.19	0.13	0.28	0.17	0.06
Altered mental status	292.4	0.69	0.65	0.13	0.56	0.78	0.83
Memory loss	292.3	0.12	0.2	0.0	0.28	0.22	0.37
Dizziness and giddiness (Light-headedness and vertigo)	386.9	2.15	1.73	0.96	1.28	1.42	1.77
Disturbances of sensation of smell and taste	350.6	0.01	0.03	0.0	0.03	0.01	0.05
Hallucinations	292.6	0.03	0.1	0.0	0.14	0.11	0.18
Aphasia/speech disturbance	292.1	0.5	0.43	0.06	0.59	0.49	0.53
Symbolic dysfunction	292.12	0.0	0.0	0.0	0.04	0.01	0.0
Voice disturbance	473.4	0.32	0.29	0.2	0.22	0.29	0.23
Fever of unknown origin	783.0	2.25	1.52	0.96	1.31	1.16	1.49
Acute pain	338.1	0.2	0.27	0.06	0.21	0.11	0.2
Chronic pain	338.2	0.16	0.19	0.0	0.17	0.12	0.19
Syncope and collapse	788.0	2.91	2.16	1.53	1.99	2.67	2.88
Cardiogenic shock	797.1	0.07	0.0	0.06	0.03	0.03	0.02
Shock	797.0	0.02	0.0	0.06	0.0	0.02	0.02
Hemorrhage NOS	459.1	0.04	0.0	0.0	0.0	0.03	0.02
Edema	782.3	0.44	0.62	0.32	0.41	0.59	0.58
Hyperhidrosis	705.8	0.23	0.29	0.19	0.25	0.18	0.18
Lack of normal physiological development, unspecified	264.9	0.01	0.0	0.0	0.0	0.0	0.0
Anorexia	260.6	0.23	0.19	0.06	0.38	0.26	0.31
Polydipsia	276.8	0.04	0.06	0.06	0.14	0.03	0.02
Polyphagia	260.7	0.01	0.0	0.0	0.0	0.0	0.0
Abnormal weight gain	278.4	0.02	0.04	0.0	0.04	0.02	0.0
Hypothermia/Chills	780.0	0.12	0.04	0.0	0.07	0.06	0.06
Elevated sedimentation rate	790.1	0.07	0.03	0.0	0.03	0.02	0.03
Nonspecific findings on examination of blood	790.0	0.03	0.11	0.0	0.0	0.06	0.03
Impaired fasting glucose	250.41	0.22	0.16	0.2	0.04	0.1	0.19
Other abnormal glucose	250.42	0.43	0.44	0.2	0.15	0.13	0.19
Abnormal serum enzyme levels	573.9	0.06	0.17	0.0	0.07	0.07	0.06
Other immunological findings	279.7	0.06	0.16	0.0	0.0	0.07	0.09
Glycosuria or Acetonuria	250.5	0.05	0.07	0.07	0.04	0.03	0.07
Other nonspecific findings on examination of urine	598.9	0.09	0.06	0.0	0.1	0.09	0.13
Nonspecific abnormal findings in cerebrospinal fluid	346.3	0.0	0.0	0.0	0.0	0.01	0.0
Abnormal spermatozoa	609.2	0.03	0.01	0.0	0.04	0.04	0.02
Abnormal findings examination of lungs	514.0	0.92	0.62	0.57	0.83	0.81	0.78
Abnormal mammogram	611.1	0.03	0.0	0.0	0.0	0.01	0.0
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.02	0.05	0.0	0.04	0.05	0.03
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.24	0.22	0.19	0.14	0.18	0.26
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.13	0.11	0.13	0.11	0.12	0.06
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.58	0.64	0.5	0.67	0.66	0.55
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.04	0.07	0.06	0.0	0.04	0.0
Nonspecific abnormal results of function study of brain and central nervous system	346.2	0.0	0.01	0.0	0.0	0.01	0.0
Abnormal findings on study of brain and/or nervous system	346.0	0.0	0.0	0.0	0.0	0.0	0.0
Abnormal results of function study of pulmonary system	514.1	0.01	0.01	0.0	0.03	0.01	0.02
Abnormal function study of cardiovascular system	429.2	0.46	0.44	0.06	0.21	0.16	0.32
Abnormal results of function study of kidney	589.0	0.09	0.09	0.06	0.0	0.04	0.08
Abnormal results of function study of liver	573.7	1.18	1.06	0.84	0.66	1.12	1.15
Abnormal results of function study of thyroid	246.7	0.02	0.01	0.0	0.0	0.01	0.02
Nonspecific abnormal results of other endocrine function study	259.1	0.0	0.01	0.0	0.0	0.01	0.0
Superficial injury without mention of infection	915.0	1.08	0.99	0.32	1.14	1.35	1.03
Contusion	916.0	0.32	0.19	0.13	0.34	0.42	0.39
Other open wound of head and face	870.3	0.64	0.42	0.32	0.63	0.88	0.66
Open wound or laceration of eye or eyelid	870.1	0.09	0.1	0.06	0.18	0.15	0.1
Open wound of nose and sinus	870.4	0.07	0.01	0.0	0.11	0.08	0.03
Open wound of ear	870.2	0.03	0.05	0.0	0.07	0.05	0.03
Open wound of lip and mouth	870.5	0.09	0.09	0.13	0.11	0.11	0.14
Skull and face fracture and other intercranial injury	819.0	0.19	0.27	0.0	0.31	0.28	0.26
Broken tooth	873.0	0.01	0.03	0.0	0.0	0.03	0.02
Concussion	817.0	0.0	0.0	0.0	0.0	0.02	0.0
Intracranial hemorrhage (injury)	818.0	0.03	0.03	0.0	0.0	0.04	0.05
Traumatic amputation	872.0	0.15	0.08	0.0	0.04	0.12	0.08
Open wound of neck	870.6	0.0	0.01	0.0	0.04	0.04	0.05
Spinal cord injury without evidence of spinal bone injury	952.0	0.01	0.04	0.0	0.03	0.03	0.02
Open wounds of head; neck; and trunk	870.0	0.03	0.03	0.0	0.04	0.05	0.02
Fracture of unspecified bones	809.0	0.0	0.01	0.0	0.03	0.02	0.0
Fracture of ribs	807.0	0.02	0.03	0.0	0.0	0.08	0.06
Fracture of clavicle or scapula	803.3	0.02	0.0	0.0	0.0	0.07	0.05
Open wound of genital organs	870.8	0.02	0.04	0.0	0.0	0.02	0.03
Fracture of pelvis	802.0	0.02	0.01	0.0	0.07	0.03	0.0
Open wounds of extremities	871.0	0.92	0.82	0.38	1.32	1.21	1.05
Fracture of humerus	803.1	0.02	0.01	0.06	0.0	0.06	0.05
Fracture of upper limb	803.0	0.03	0.05	0.0	0.03	0.06	0.02
Fracture of radius and ulna	803.2	0.1	0.05	0.0	0.14	0.2	0.06
Fracture of hand or wrist	804.0	0.11	0.03	0.0	0.1	0.15	0.13
Joint/ligament sprain	840.3	0.02	0.02	0.0	0.03	0.05	0.02
Sprains and strains	840.0	0.11	0.05	0.0	0.07	0.09	0.09
Fracture of unspecified part of femur	800.2	0.0	0.01	0.0	0.03	0.03	0.0
Fracture of neck of femur	800.1	0.01	0.01	0.06	0.03	0.06	0.03
Fracture of lower limb	800.0	0.11	0.04	0.0	0.07	0.12	0.03
Fracture of patella	800.4	0.04	0.03	0.0	0.0	0.03	0.0
Fracture of tibia and fibula	800.3	0.02	0.03	0.06	0.14	0.1	0.06
Fracture of ankle and foot	801.0	0.04	0.04	0.0	0.0	0.1	0.02
Open wound of toe(s)	871.4	0.0	0.01	0.0	0.0	0.02	0.02
Open wound of foot except toe(s) alone	871.3	0.04	0.04	0.06	0.04	0.05	0.05
Fracture of foot	801.1	0.0	0.0	0.0	0.0	0.01	0.0
Poisoning by antibiotics	960.0	0.84	0.76	0.93	1.38	1.19	1.18
Allergy/adverse effect of penicillin	960.2	4.85	4.35	3.19	5.61	4.91	5.03
Adverse effects of antibacterials (not penicillins)	960.1	0.01	0.01	0.0	0.0	0.02	0.02
Poisoning/allergy of sulfonamides	961.1	0.2	0.13	0.27	0.26	0.27	0.27
Poisoning by other anti-infectives	961.0	0.12	0.24	0.13	0.3	0.14	0.3
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.14	0.21	0.0	0.08	0.11	0.14
Poisoning by hormones and synthetic substitutes	962.0	0.01	0.07	0.0	0.04	0.05	0.07
Poisoning by primarily systemic agents	963.0	0.03	0.04	0.0	0.08	0.05	0.05
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	1.66	1.91	1.39	2.72	1.89	2.26
Salicylates causing adverse effects in therapeutic use	965.3	0.08	0.08	0.07	0.08	0.11	0.05
Poisoning by psychotropic agents	969.0	0.24	0.31	0.07	0.83	0.53	0.54
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.16	0.09	0.0	0.26	0.15	0.19
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.0	0.05	0.0	0.08	0.05	0.02
Antineoplastic and immunosuppressive drugs causing adverse effects	963.1	0.01	0.03	0.0	0.04	0.01	0.02
Poisoning by agents primarily affecting blood constituents	964.0	0.02	0.03	0.0	0.0	0.0	0.0
Anticoagulants causing adverse effects	964.1	0.05	0.09	0.07	0.15	0.09	0.03
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.03	0.08	0.0	0.0	0.07	0.1
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.01	0.03	0.0	0.08	0.03	0.03
Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system	975.0	0.0	0.01	0.0	0.0	0.02	0.03
Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs	976.0	0.01	0.01	0.0	0.04	0.01	0.03
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.04	0.04	0.0	0.0	0.04	0.0
Adverse drug events and drug allergies	979.0	0.09	0.08	0.07	0.15	0.13	0.22
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.02	0.04	0.0	0.1	0.04	0.06
Toxic effect of other gases, fumes, or vapors	987.0	0.02	0.0	0.0	0.07	0.03	0.05
Toxic effect of corrosive aromatics, acids, and caustic alkalis	983.0	0.0	0.0	0.0	0.0	0.01	0.0
Toxic effect of other substances, chiefly nonmedicinal as to source	989.0	0.02	0.0	0.06	0.0	0.02	0.0
Toxic effect of other metals	985.0	0.0	0.0	0.0	0.03	0.01	0.0
Toxic effect of carbon monoxide	986.0	0.01	0.01	0.0	0.0	0.01	0.0
Toxic effect of noxious substances eaten as food	988.0	0.01	0.0	0.0	0.0	0.01	0.0
Toxic effect of venom	913.0	0.01	0.07	0.0	0.03	0.03	0.0
Anaphylactic shock NOS	946.0	0.21	0.38	0.13	0.28	0.15	0.24
Allergies, other	949.0	0.18	0.23	0.06	0.24	0.12	0.22
Certain early complications of trauma or procedure	958.0	0.07	0.06	0.0	0.14	0.11	0.06
Traumatic and surgical subcutaneous emphysema	958.2	0.0	0.01	0.0	0.03	0.02	0.0
Infusion and transfusion reaction	942.0	0.0	0.0	0.0	0.0	0.0	0.03
Adverse reaction to serum or vaccine	941.0	0.03	0.01	0.0	0.07	0.06	0.11
Hemorrhage or hematoma complicating a procedure	850.0	1.35	1.63	1.36	1.52	1.54	1.56
Postoperative shock	958.1	0.02	0.0	0.0	0.03	0.01	0.02
Complications of cardiac/vascular device, implant, and graft	854.0	1.14	0.75	0.39	0.82	0.78	0.63
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.29	0.25	0.19	0.31	0.35	0.28
Complication due to other implant and internal device	859.0	0.73	0.8	0.46	0.57	0.96	0.82
Bone marrow or stem cell transplant	860.0	0.01	0.0	0.0	0.03	0.03	0.02
Lung transplant	510.2	0.03	0.0	0.0	0.0	0.01	0.0
Complications of transplants and reattached limbs	851.0	1.3	1.11	0.59	1.2	1.87	1.33
Complication of amputation stump	874.0	0.03	0.06	0.0	0.14	0.05	0.02
Suicide or self-inflicted injury	297.2	0.21	0.31	0.07	0.59	0.39	0.52
Suicidal ideation or attempt	297.0	0.0	0.04	0.0	0.04	0.01	0.0
Renal dialysis	585.31	0.36	0.55	0.13	0.14	0.16	0.44
Human immunodeficiency virus [HIV] disease	71.0	0.01	0.23	0.0	0.03	0.02	0.08
Other high-risk pregnancy	638.0	0.01	0.04	0.0	0.04	0.02	0.02
Ileostomy status	559.0	0.37	0.25	0.14	0.42	0.6	0.38
Chemotherapy	197.0	4.76	4.81	3.1	5.11	5.79	5.71
Radiotherapy	196.0	0.0	0.0	0.0	0.0	0.0	0.0
Personal history of diseases of blood and blood-forming organs	289.3	0.17	0.19	0.26	0.04	0.1	0.24
Personal history of diseases of digestive system	564.9	5.01	4.26	3.07	5.02	5.71	5.2
Opiates and related narcotics causing adverse effects in therapeutic use	965.1	0.24	0.29	0.2	0.45	0.43	0.42
Kidney replaced by transpant	587.0	0.22	0.24	0.0	0.0	0.11	0.31
Liver replaced by transplant	573.2	0.03	0.05	0.13	0.0	0.03	0.1
Cornea replaced by transplant	364.9	0.03	0.04	0.0	0.11	0.04	0.03
Cardiac pacemaker in situ	426.91	0.85	0.49	0.13	0.69	0.81	0.73
Heart valve replaced	395.6	0.51	0.24	0.32	0.31	0.47	0.3
Cardiac pacemaker/device in situ	426.9	0.07	0.01	0.0	0.04	0.07	0.12
Insulin pump user	250.3	0.01	0.03	0.0	0.0	0.01	0.05
Dependence on respirator [Ventilator] or supplemental oxygen	509.8	0.08	0.1	0.19	0.14	0.13	0.16
